头实体,头实体类型,尾实体,尾实体类型,关系类别,所在文本战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
X型飞机,航空器,维修时间,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
X型飞机,航空器,保障系统,系统,组成,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,使用可用度,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,维修时间,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
X型飞机,航空器,保障系统,系统,组成,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,使用可用度,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,维修时间,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
X型飞机,航空器,保障系统,系统,组成,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,使用可用度,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,维修时间,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
X型飞机,航空器,保障系统,系统,组成,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,使用可用度,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,维修时间,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
X型飞机,航空器,保障系统,系统,组成,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,使用可用度,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
X型飞机,航空器,维修时间,性能指标,性能指标,保障系统是X型飞机的重要组成部分，其使用可用度应不小于0.9，维修时间应不大于2小时。
